date,cases_cum,cases
1/22/2020,1,0
1/23/2020,2,1
1/24/2020,2,0
1/25/2020,5,3
1/26/2020,5,0
1/27/2020,5,0
1/28/2020,6,1
1/29/2020,6,0
1/30/2020,8,2
1/31/2020,8,0
2/1/2020,8,0
2/2/2020,11,3
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,12,1
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,13,1
2/11/2020,13,0
2/12/2020,14,1
2/13/2020,14,0
2/14/2020,14,0
2/15/2020,14,0
2/16/2020,14,0
2/17/2020,14,0
2/18/2020,14,0
2/19/2020,14,0
2/20/2020,16,2
2/21/2020,16,0
2/22/2020,16,0
2/23/2020,16,0
2/24/2020,16,0
2/25/2020,16,0
2/26/2020,17,1
2/27/2020,17,0
2/28/2020,25,8
2/29/2020,32,7
3/1/2020,55,23
3/2/2020,74,19
3/3/2020,107,33
3/4/2020,184,77
3/5/2020,237,53
3/6/2020,403,166
3/7/2020,519,116
3/8/2020,594,75
3/9/2020,782,188
3/10/2020,1147,365
3/11/2020,1586,439
3/12/2020,2219,633
3/13/2020,2978,759
3/14/2020,3212,234
3/15/2020,4679,1467
3/16/2020,6512,1833
3/17/2020,9169,2657
3/18/2020,13663,4494
3/19/2020,20030,6367
3/20/2020,26025,5995
3/21/2020,34832,8807
3/22/2020,46052,11220
3/23/2020,56629,10577
3/24/2020,68663,12034
3/25/2020,86556,17893
3/26/2020,105196,18640
3/27/2020,124793,19597
3/28/2020,143724,18931
3/29/2020,165733,22009
3/30/2020,192101,26368
3/31/2020,217920,25819
4/1/2020,248309,30389
4/2/2020,280306,31997
4/3/2020,313304,32998
4/4/2020,341489,28185
4/5/2020,371675,30186
4/6/2020,403073,31398
4/7/2020,435089,32016
4/8/2020,469738,34649
4/9/2020,503274,33536
4/10/2020,532632,29358
4/11/2020,559591,26959
4/12/2020,585382,25791
4/13/2020,613973,28591
4/14/2020,643981,30008
4/15/2020,675504,31523
4/16/2020,708310,32806
4/17/2020,736161,27851
4/18/2020,761842,25681
4/19/2020,790264,28422
4/20/2020,816302,26038
4/21/2020,845599,29297
4/22/2020,879030,33431
4/23/2020,912596,33566
4/24/2020,944397,31801
4/25/2020,971497,27100
4/26/2020,994670,23173
4/27/2020,1019344,24674
4/28/2020,1047189,27845
4/29/2020,1076694,29505
4/30/2020,1110914,34220
5/1/2020,1138916,28002
5/2/2020,1163418,24502
5/3/2020,1186820,23402
5/4/2020,1211383,24563
5/5/2020,1236530,25147
5/6/2020,1264321,27791
5/7/2020,1291203,26882
5/8/2020,1316172,24969
5/9/2020,1335028,18856
5/10/2020,1354477,19449
5/11/2020,1377233,22756
5/12/2020,1398200,20967
5/13/2020,1425513,27313
5/14/2020,1450808,25295
5/15/2020,1474826,24018
5/16/2020,1492945,18119
5/17/2020,1514960,22015
5/18/2020,1535992,21032
5/19/2020,1559501,23509
5/20/2020,1585166,25665
5/21/2020,1608604,23438
5/22/2020,1629802,21198
5/23/2020,1649916,20114
5/24/2020,1668235,18319
5/25/2020,1687761,19526
5/26/2020,1706351,18590
5/27/2020,1729299,22948
5/28/2020,1753651,24352
5/29/2020,1777495,23844
5/30/2020,1796670,19175
5/31/2020,1814034,17364
6/1/2020,1835408,21374
6/2/2020,1855386,19978
6/3/2020,1877125,21739
6/4/2020,1902294,25169
6/5/2020,1924132,21838
6/6/2020,1941920,17788
6/7/2020,1959448,17528
6/8/2020,1977820,18372
6/9/2020,1998646,20826
6/10/2020,2021853,23207
6/11/2020,2046724,24871
6/12/2020,2071989,25265
6/13/2020,2091366,19377
6/14/2020,2111291,19925
6/15/2020,2135088,23797
6/16/2020,2160997,25909
6/17/2020,2189189,28192
6/18/2020,2220514,31325
6/19/2020,2252770,32256
6/20/2020,2278879,26109
6/21/2020,2309366,30487
6/22/2020,2345163,35797
6/23/2020,2379622,34459
6/24/2020,2420178,40556
6/25/2020,2465501,45323
6/26/2020,2507859,42358
6/27/2020,2547213,39354
6/28/2020,2587902,40689
6/29/2020,2634076,46174
6/30/2020,2685400,51324
7/1/2020,2740521,55121
7/2/2020,2793083,52562
7/3/2020,2838831,45748
7/4/2020,2888814,49983
7/5/2020,2933464,44650
7/6/2020,2993626,60162
7/7/2020,3052808,59182
7/8/2020,3116085,63277
7/9/2020,3183803,67718
7/10/2020,3243969,60166
7/11/2020,3302870,58901
7/12/2020,3362351,59481
7/13/2020,3429328,66977
7/14/2020,3496956,67628
7/15/2020,3574334,77378
7/16/2020,3646355,72021
7/17/2020,3709118,62763
7/18/2020,3770410,61292
7/19/2020,3832417,62007
7/20/2020,3896862,64445
7/21/2020,3968185,71323
7/22/2020,4037275,69090
7/23/2020,4110392,73117
7/24/2020,4176874,66482
7/25/2020,4231723,54849
7/26/2020,4288316,56593
7/27/2020,4354137,65821
7/28/2020,4425464,71327
7/29/2020,4493284,67820
7/30/2020,4560437,67153
7/31/2020,4618344,57907
8/1/2020,4665677,47333
8/2/2020,4710524,44847
8/3/2020,4768000,57476
8/4/2020,4821657,53657
8/5/2020,4881308,59651
8/6/2020,4939655,58347
8/7/2020,4995355,55700
8/8/2020,5041480,46125
8/9/2020,5091246,49766
8/10/2020,5138159,46913
8/11/2020,5195170,57011
8/12/2020,5247164,51994
8/13/2020,5311760,64596
8/14/2020,5359187,47427
8/15/2020,5400601,41414
8/16/2020,5436540,35939
8/17/2020,5481903,45363
8/18/2020,5529243,47340
8/19/2020,5573327,44084
8/20/2020,5621550,48223
8/21/2020,5665965,44415
8/22/2020,5700393,34428
8/23/2020,5738250,37857
8/24/2020,5776482,38232
8/25/2020,5821575,45093
8/26/2020,5867456,45881
8/27/2020,5913667,46211
8/28/2020,5959695,46028
8/29/2020,5995057,35362
8/30/2020,6029571,34514
8/31/2020,6072105,42534
9/1/2020,6112688,40583
9/2/2020,6156594,43906
9/3/2020,6206707,50113
9/4/2020,6250801,44094
9/5/2020,6281949,31148
9/6/2020,6306013,24064
9/7/2020,6332750,26737
9/8/2020,6366307,33557
9/9/2020,6402666,36359
9/10/2020,6450197,47531
9/11/2020,6491252,41055
9/12/2020,6525949,34697
9/13/2020,6559903,33954
9/14/2020,6599105,39202
9/15/2020,6637664,38559
9/16/2020,6682404,44740
9/17/2020,6731128,48724
9/18/2020,6775201,44073
9/19/2020,6811437,36236
9/20/2020,6863902,52465
9/21/2020,6902893,38991
9/22/2020,6941340,38447
9/23/2020,6985491,44151
9/24/2020,7036085,50594
9/25/2020,7080965,44880
9/26/2020,7117387,36422
9/27/2020,7150706,33319
9/28/2020,7192825,42119
9/29/2020,7234242,41417
9/30/2020,7279013,44771
10/1/2020,7333550,54537
10/2/2020,7383614,50064
10/3/2020,7419081,35467
10/4/2020,7458636,39555
10/5/2020,7500589,41953
10/6/2020,7550929,50340
10/7/2020,7607158,56229
10/8/2020,7664602,57444
10/9/2020,7719244,54642
10/10/2020,7763864,44620
10/11/2020,7805537,41673
10/12/2020,7857987,52450
10/13/2020,7917523,59536
10/14/2020,7981179,63656
10/15/2020,8050344,69165
10/16/2020,8107891,57547
10/17/2020,8156114,48223
10/18/2020,8214509,58395
10/19/2020,8274864,60355
10/20/2020,8337640,62776
10/21/2020,8409341,71701
10/22/2020,8493088,83747
10/23/2020,8576818,83730
10/24/2020,8637625,60807
10/25/2020,8704423,66798
10/26/2020,8778055,73632
10/27/2020,8856413,78358
10/28/2020,8944934,88521
10/29/2020,,-8944934
